90,10,CITRONADELE,OK,M B C I T R O N E L
91,10,BASCHETBALIȘTILOR,OK,B A C H E T Ș I L O
92,13,SEPTICUL,OK,A S E R M H D I Ă C U J T
93,2,VENENO,OK,V E
94,13,GUDRONĂM,OK,A C N S E Î P R Â D M G U
95,10,CORDENCIULUI,OK,A D I E T U M O N L
96,18,STROPȘIRE,OK,A B I L E G N M P Ț Ă R F C U V O Ș
97,7,FOILETONIST,OK,A O L E T N S
98,14,PLICISERĂ,OK,A F M N P U C E T G I L D R
99,3,ACHITAT,OK,C H I
Total pași efectuați: 1095
Media pașilor efecțuati: 10.95
