game_id,points,reached_target,stopping_reason,moves_to_target
0,10005,YES,REACHED_TARGET,167
1,10005,YES,REACHED_TARGET,165
2,10005,YES,REACHED_TARGET,171
3,10005,YES,REACHED_TARGET,146
4,10015,YES,REACHED_TARGET,167
5,10000,YES,REACHED_TARGET,156
6,10005,YES,REACHED_TARGET,153
7,10000,YES,REACHED_TARGET,166
8,10000,YES,REACHED_TARGET,185
9,10025,YES,REACHED_TARGET,164
10,10000,YES,REACHED_TARGET,171
11,10045,YES,REACHED_TARGET,165
